sample_id,customer_tweet_id,customer_text,draft_reply,human_correctness_1_to_5,human_groundedness_1_to_5,human_relevance_1_to_5,human_helpfulness_1_to_5,human_brand_consistency_1_to_5,human_unsupported_claims_bool,human_overall_score_1_to_5,llm_judge_score,score_difference
11,404147,"Hi! Still no love with opening Safari. The browser window open and I see it try to load, but it crashes after about 30 seconds.",We'd like to help with Safari. Let us know which device and system you're experiencing this issue with via DM. We'll go from there. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
12,1100785,Lost 14% writing this tweet,"We're here to help. Having a lasting battery is important, and we can help. To start, let us know the iOS version it’s on, and we’ll go from there.",,,,,,,4.5,4.4,0.1
13,1026290,Yes I am. My phone keeps freezing so I have to force a restart. And whenever I call someone they can’t hear me and I can’t hear them,Let's follow up in DM. We'll continue the conversation there. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
14,1615396,Can @115858 please correct the keyboard glitch in the new update? I am tired of reading tweets and texts with weird characters,We're here to help. Hey there! We'd like to have you try the steps listed here: https://t.co/xU1AGHStV6 Let us know if this helps!,,,,,,,5.0,4.4,0.6
15,1563614,"Do you have a phone number to change my account details? My old email address no longer works & I can't add my new card, etc😼",We're here to help. We apologize for any confusion. Can you tell us where you're trying to update that info at?,,,,,,,4.0,4.4,0.4
16,84283,this high Sierra update fucked up my computer thanks,We're here to help. We'll do all we can to help. Tell us more details about what's happening since trying to update to High Sierra.,,,,,,,4.0,4.4,0.4
17,1623831,"What is happening to the level of support @115858 @AppleSupport?? Phone and chat sessions cut off 4 times in total, battery draining in secs!",We're here to help. We'll be happy to look into this with you. Try using another browser for our Chat Support and DM us details on the reason you're reaching out to them. We may be able to help with any issues you're having here. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
18,365280,Yes the reboot seemed to help the delay with Bluetooth thanks for suggestion,We're here for you as well. Send us a DM with more information about any issues you're experiencing. We'll work through those with you. https://t.co/GDrqU22YpT,,,,,,,4.5,4.2,0.3
19,1275114,if i have scars on my face or i have nose surgery is what face id will recognize me?,"We're here to help. Face ID can handle beards. No problem! Check out the section ""Advanced Technologies"" for more info here: https://t.co/w0GFEbuI3a",,,,,,,4.0,4.4,0.4
20,1137001,help i got mustard in my headphone/charging port on my iPhone 7,"We're here to help. We're glad to help! Let's look into this together. Were you able to test other headphones, or connect your adapter to another iOS device, in order to isolate the cause of this behavior to the adapter itself?",,,,,,,3.5,4.4,0.9
21,957211,Is there any way to disable these on iOS 11? It’s really easy to jump to the wrong thing with my thumb. https://t.co/FFg7sdOSxf,We'd like to help. Try out this work around until this issue is fixed in a future update: https://t.co/xXaXeeSRt9,,,,,,,4.5,4.4,0.1
22,11639,"I get this message when I close the app. When I touch it I get into the app, but getting this when closing the app is annoying.","We're here to help. Thanks. Let's look into that further. Send us a DM, and we'll go from there. https://t.co/GDrqU22YpT",,,,,,,4.0,4.4,0.4
23,506489,I’ve done that and it says it will take 22 hours,Thanks for that update. Let's continue this conversation in DM. Which country are you located in? https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
24,207996,Yup I even deleted & & downloaded again still happened,We'd like to look into this. Send us a DM to continue. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
25,1547586,My god @115858 please fix iOS 11. Why tf doesn’t my speaker phone feature work? Y’all are killing me.,"We're here to help. Hey, we can offer some suggestions. First, try the steps here and let us know if it helps: https://t.co/4Kux8rhhGX",,,,,,,4.5,4.4,0.1
26,616322,Need help with checking my battery health.. can someone help online to run diagnostics,We're here to help. Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
27,56985,"how do I get my keyboard to STOP auto correcting the letter ""I"" to a symbol. See attached photo. https://t.co/SpXE0xFHvi",We're here to help. Here's something that may help. Please try this for us: https://t.co/xU1AGHStV6,,,,,,,5.0,4.4,0.6
28,797623,It’s a 7+,We're here to help. Thanks. Are you updated to iOS 11.0.3?,,,,,,,4.5,4.4,0.1
29,61066,can you tell me why it keeps coming up my storage is nearly full no matter HOW MUCH or WHAT I delete? ☹,Let's work on this together. Please DM us about your iCloud storage issue and we'll get started. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
30,1007577,"I have used reset phone, reset network settings, uninstalled and reinstalled app several time but no luck.FB ver 145.0",We're here to help. Alright. Did you initiate this particular group chat? Or was it started by someone else? Let us know via DM. We’ll go from there. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
31,1271105,"I’ve purchased Apple Music, been charged, I have even received the invoice. I’m not able to access it though https://t.co/G2NnZiXQuE","We're here to help. We'd love to help. Which device are you using? Also, have you had a chance to restart and try to access Apple Music again?",,,,,,,4.0,4.4,0.4
32,1565117,I this shit right here is pissing me off. Like what’s good @AppleSupport,We're here to help. Please send us a DM and we will go from there. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
33,883999,"I'm friggin ticked off that 1 1/2 gen old phone (iPhone 6s) is having a hard time with #ios11, it feels as @115858 does this crap on purpose",We're here to help. What seems to be going on with your phone? Let us know in DM. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
34,546590,I hate the new @115858 update! My phone crashes every minute!,Thanks for reaching out. DM which iPhone and specific iOS version you are using so we can help. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
35,1588140,every time i type in “I” symbols pop out. wtf @115858,"Thanks for reaching out! We're glad to help, we've got a guide to share with you on this issue: https://t.co/xU1AGHStV6",,,,,,,5.0,4.4,0.6
36,299079,I had quite the customer service experience at your 5th Ave location that your organization and the #public should know about...,Hi there. We're happy to help how we can. DM us and tell us what happened. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
37,233352,I am using 10.3.3,"We're here to help. OK, got it. Which iPhone model are you using currently? Let us know in DM and we'll continue there. https://t.co/GDrqU22YpT",,,,,,,4.0,4.4,0.4
38,741041,Ive has a terrible time with my #iPhone since I did the #ios11 update. And ideas @AppleSupport,We're here to help with your iOS 11 issue. Can you provide us with more details?,,,,,,,4.0,4.4,0.4
39,1338800,can you please tell me how to stop my iPhone 7 from lowering my Brightness I keep putting it back 10 minutes later it's back,We'd like to take a look into this for you. Which iPhone do you have? And when did you first encounter this issue?,,,,,,,4.0,4.4,0.4
40,1505588,I’m having problem with #iphonex and AirPods. Connection with AirPods is very unstable compared to 7+. Can you help please?,"Hi there. Please DM details, we'd love to help. Is the issue with Bluetooth connecting? https://t.co/GDrqU22YpT",,,,,,,4.0,4.4,0.4
41,559081,Wtf is this ??? 😡😡😡 @AppleSupport @115858 @115858 https://t.co/On7lJNThso,We're here to help. We'll be more than happy to look into this. DM us here to continue: https://t.co/GDrqU22YpT,,,,,,,4.5,4.4,0.1
42,1630161,Don't understand what DM is,We're here to help. DM stands for 'Direct Message'. Please provide us your country in DM using this link: https://t.co/GDrqU22YpT,,,,,,,4.5,4.4,0.1
43,110953,Chicago USA 60619,Thanks for reaching out. We'd like to help. Are you able to install Sierra with the link and steps in our article here?: https://t.co/ErBsMEnNPV Let us know and we'll continue.,,,,,,,4.0,4.4,0.4
44,1409732,I receive this message https://t.co/zwnOzTfDuA,We're here to help. Got it. Thanks for that screenshot. Check out the steps here: https://t.co/duYWwlmIVH Keep us posted on the results.,,,,,,,4.0,4.4,0.4
45,467346,I just wanted to make sure someone had reported the following iOS bug where notifications on the lock screen are taking up more room than their containing background bubble. (I’m using iPhone 7+ with iOS 11.1.2.) https://t.co/2M9SfCWnov,We're here to help. Hey Adam! We could definitely see how that would be inconvenient. Does this issue persist after doing a restart of your phone? Which iOS version are you currently running?,,,,,,,4.5,4.4,0.1
46,1492646,"I have just reserved 2 iPhone X’s to collect at 1400-1430 today but have been given no ref, can you please provide this so I can collect? Thanks",We're here for you. You'll want to reach out to our Online Sales Support team here: https://t.co/8yjRd1Xo0i,,,,,,,4.0,4.4,0.4
47,1646730,what is up with the symbols and crap when I type? Usually with the letter I?,We're here to help. We'd recommend trying the steps here: https://t.co/xU1AGHStV6,,,,,,,4.5,4.4,0.1
48,1170182,i am unable to login my existing apple id in my iphone,We're here to help. DM us what happens when you try and log in and if you can log into the Apple ID website without issue (https://t.co/bq19gX3X68) https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
49,1126737,There’s no netflix update,"Let's see how we can help. What happens when you try to use Netflix? Also, what device are you experiencing this with?",,,,,,,4.0,4.4,0.4
50,584769,Hi Apple! I want to know about my iPhone's battery condition (iPhone 6s 64gb). Suddenly drops occur often. Can you help me?,We're here to help. Let us have a closer look at things with you. Had there been any recent changes on your device when this issue started?,,,,,,,4.5,4.4,0.1
