id,customer_tweet_id,text,gold_intent,gold_escalation,difficulty,notes
22,270342,45.86GB of memory!!! @AppleSupport WHAT IS HAPPENING??? #sourcekitservice https://t.co/WniC8bF4EW,,,easy,Standard single-issue report
23,307218,"Hi there. on a iPhone6, I went from iOS8 (I know..) to 11.0.1. Not happy at all with my battery life. Can I go back to iOS10 ?",,,easy,Standard single-issue report
24,1376768,"I only have until tomorrow morning to complete the transaction, until I lose my chance to buy iPhone X. Can you please help!",,,easy,Standard single-issue report
25,322343,PLEASE FIX THE BATTERY ISSUES!! IT DRAINS THE BATTERY MORE THAN USUAL!! @AppleSupport #IOS11,,,easy,Standard single-issue report
26,1031472,"Have just updated to latest iOS, phone is an SE",,,easy,Standard single-issue report
27,283597,It's only my iPhone 7 plus. My MacBook still connects. Yes it's a home network.,,,easy,Standard single-issue report
28,793984,*presses home button twice* goes to home menu *holds down home button* closes apps @115858 fix please,,,easy,Standard single-issue report
29,1614444,.@115858 so help me if you don’t fix the capital i (I)problem on the update 🤬🤬,,,easy,Standard single-issue report
30,1458827,I’d like to meet my new #iphonex but it won’t activate,,,easy,Standard single-issue report
31,1517864,Yeah but there is no software update available for the X yet...,,,easy,Standard single-issue report
32,1458061,there’s an I in the emoji keyboard. Hope it helps @115858 https://t.co/UgOxrUtkz3,,,easy,Standard single-issue report
33,1596683,Why are tweets and emails being sent with weird symbols? #iphonex @AppleSupport,,,easy,Standard single-issue report
34,1535671,Cannot save photos in messages on IPHONE 7 PLUS ! https://t.co/NrI9siMsWS,,,easy,Standard single-issue report
35,1304246,"Hi @AppleSupport, i get this error every time i try to update to 11.0.3. Help? https://t.co/2SoW59XnFm",,,easy,Standard single-issue report
36,858382,my iphone crashed all lf a sudden. I am not able to contact even your cust support. Pathetic service apple india,,,easy,Standard single-issue report
37,95794,Thanks apple for this shitty update. 💩 My battery is even worse now ... last night I forgot to turn off the automatic update. Today in the morning I was like ... #ios1112 #ios1112fail https://t.co/3dCcxBgyZm,,,easy,Standard single-issue report
38,1577441,I need answers as to why these boxes with question marks keep popping up,,,easy,Standard single-issue report
39,148118,since updating new iOS so many apps keep crashing etc. Any ideas ?,,,easy,Standard single-issue report
40,1537632,why is “I” auto correcting to this https://t.co/zl7rvLR9Gf,,,easy,Standard single-issue report
41,852953,My “updates” section won’t also load.,,,easy,Standard single-issue report
42,543625,"#Hilfe mein iPhone X stürzt alle X Sekunden ab. Aus/Einschalten, alle Apps beenden, Flugmodus hilft nicht. Einstellungen sind zurückgesetzt. Ging gestern nach einem WhatsApp Anruf los. #iphonex @AppleSupport https://t.co/ZwCLbF6Vbx",,,easy,Standard single-issue report
43,1527016,Of course there’s a bug with the new #iOS update 🙄🙄🙄. @AppleSupport is there a fix? https://t.co/fMGOplYlCt,,,easy,Standard single-issue report
44,299663,"iPhone 8, latest software . iOS 11.2",,,easy,Standard single-issue report
45,1525214,bruh tell me how my phone losing battery while it’s plugged in,,,easy,Standard single-issue report
46,726692,Anyone else find #iOS11 really glitchy in texting? Text box sometimes doesn’t show up. Talk to text is frustrating too @115858 @AppleSupport,,,easy,Standard single-issue report
47,687905,This lagging while texting needs to quit. Cmon @115858 come with that update. You fixed the A ? Problem now fix the lag!!!,,,easy,Standard single-issue report
48,857136,I was trying to swipe up to reveal the little ‘i’ button.,,,easy,Standard single-issue report
49,1346296,My headphones just broke you know like fullly snapped in half. @115858 I need to talk to a supervisor cos I’ve only had them for 2 months,,,easy,Standard single-issue report
50,1342694,"My @AppleSupport iPhone 6S battery, goes from 100% - 0 within 2 hours! What am I doing wrong? 😭🤔💖",,,easy,Standard single-issue report
51,1577433,hi. How long does spam mail stay in the spam folder before being deleted? Is there a way it’ll automatically delete? iOS 11.1,,,easy,Standard single-issue report
52,333222,Why you asking for payment information when the app is free?? @AppleSupport @115858,,,easy,Standard single-issue report
53,292924,Fix th battery issue too. iOS11.0.2 is draining my battery like crazy,,,easy,Standard single-issue report
54,146738,I updated my #iPhone #iOS to #IOS11 something lastnight.And Now its #WiFi won't work.Can you offer any help? @115858 @128511 #World #Tech,,,easy,Standard single-issue report
55,35312,My screen is all messed up. Won’t let me type right,,,easy,Standard single-issue report
56,61342,just got the iPhone 10 where game central app gone cart seem 2 find it?,,,easy,Standard single-issue report
57,1434148,- every since I updated my phone I’ve been seeing a whole bunch of question marks in a box like I got an Android 🤬🤔 wassup @115858 ❓❗,,,easy,Standard single-issue report
58,1372504,"it’s a meme now, can we get a fix? I can’t handle it anymore! #iOS11 #iPhone #A? https://t.co/FeumliFZlR",,,easy,Standard single-issue report
59,612830,Figured out an adequate work around. Still would like to know how to mask a second object if it is all possible in Final Cut Pro. @AppleSupport,,,easy,Standard single-issue report
60,32422,"hey I'm facing problem updating my Iphone to iOS 11 whenever I wanna update it, a message pop up says verifying",,,easy,Standard single-issue report
61,845571,"Please fix the glitches from your last iPhone update for example using predictive text shouldn’t be complicated, it was easier before",,,easy,Standard single-issue report
62,1461623,I’m having the same issue @AppleSupport @115858 what is with this “i” issue??? So annoying.,,,easy,Standard single-issue report
63,265125,Horrible Customer Service!! @6674&t @115858. Went in to at&t today to return iPhone bought Sunday due to not working. Told it cost $45.00!!!,,,easy,Standard single-issue report
64,361748,awful phone cst support in Portugal with absurd repair timeframes when compared to other countries... change to other brand? Y,,,easy,Standard single-issue report
65,1368804,"Ever since I updated my phone, it constantly restarts randomly. Funny things start happening to iPhones the second a new one comes out 🤔 @115858 you suck",,,easy,Standard single-issue report
66,1078305,"Mesajlar whatsappa girince toplu geliyor,wifi denetim merkezinden kapanmıyor,4g kapalıyken internet 4gye geçiyor napıyorsunuz?@AppleSupport",,,easy,Standard single-issue report
67,146804,When did @115858 phones start lagging? iPhone SE started lagging after latest iOS update. Intentional @AppleSupport ? So that I upgrade my phone?,,,medium,Slang / abbreviations / typos
68,1285642,needs to fix this update. My phone randomly starts playing music. Even after I close the app. Clearly trying to get me fired.,,,medium,Slang / abbreviations / typos
69,1645041,Please fix this @115858 @AppleSupport this is terrible. https://t.co/r6ugQMJsdr,,,medium,Angry / emotionally charged
70,1266515,Bruh wtf is wrong with my Apple Music wont add new music. @115858 if yalls don’t fix I’m switching back to @115888,,,medium,Slang / abbreviations / typos
71,1629760,can’t type the letter after h in the alphabet. What gives? I’m going insane.,,,medium,Slang / abbreviations / typos
72,565329,If my fucking phone restarts on its own one more time @115858 I’m buying a mf Android,,,medium,Angry / emotionally charged
73,688923,"You guys need to get it together,my phone has turned into a useless brick since updates, first slow, now can’t even make phone calls.",,,medium,Angry / emotionally charged
74,1288939,C'est quel type d'obsolescence programmée qui a 1 semaine de la sortie de l'iPhone X affiche des msg d'erreurs de la caméra ? @AppleSupport,,,medium,Slang / abbreviations / typos
75,765631,so fucking apple locked me out my phone!!!!!!!!!!!!!!!!!!!!!!! @AppleSupport,,,medium,Angry / emotionally charged
76,325949,your new OS has my 5s acting like a cheap android phone. I hate that. It’s even worse than usual recent updates. Do smt about it fast,,,medium,Angry / emotionally charged
77,770103,#IOS11 Worst IOS ever. My phone works like shit. How can you release this? You are @115858 @AppleSupport,,,medium,Angry / emotionally charged
78,1551328,"My phone turns off by itself now & takes forever to turn back on. Thanks for fucking up my device, @115858 .",,,medium,Angry / emotionally charged
79,1558102,I I I I I I I I I I I I I ..........this is the problem the letter “eye” is fucking up @115858 the hell going on?,,,medium,Angry / emotionally charged
80,1268350,??? The fuck’s going on https://t.co/KDjVr1qNuv,,,medium,Angry / emotionally charged
81,1544473,Hey @115858 this “I” thing is a huge fucking problem lmfao,,,medium,Angry / emotionally charged
82,244992,I have to restart my phone so many times daily because of this... I can’t afford a new phone!!!! @AppleSupport https://t.co/UsRRqAssap,,,medium,Slang / abbreviations / typos
83,1535021,"If it’s a marketing scheme making iOS 11 buggy af just so that customers with the 6 will upgrade, shame on this company.",,,medium,Slang / abbreviations / typos
84,219211,"I wanted to send my deepest thanks for royally fucking up my phone with #iOS11 that’s what I get for being a customer, punishment",,,medium,Angry / emotionally charged
85,1541085,Really surprised @115858 hasn't fixed this keyboard glitch.. It's affected my iOS for at least 48 hours.,,,medium,Slang / abbreviations / typos
86,261770,the new update is affecting my iPhone 7 then my iPhone 6plus.,,,medium,Slang / abbreviations / typos
87,1133237,"hi, I have a problem w/ my Apple ID. ☹ can u help me pls? 😭🙏",,,medium,Slang / abbreviations / typos
88,489699,I can’t use my Mac due to my wireless keyboard & mouse not connecting after the security update! Can you help me fix this?,,,medium,Slang / abbreviations / typos
89,915179,the “cancel” button is up in the battery icon. #cantcancel https://t.co/ivZSpSku6j,,,medium,Slang / abbreviations / typos
90,1582095,also @115858 cant y’all fix this box shit when i say i,,,medium,Slang / abbreviations / typos
91,586937,"Dear @115858 @AppleSupport Why is it that I still have that weird error with the letter “I”, even after I have done the software update? Would you be able to help fix this? I have an iPhone 6. https://t.co/GpAiuF1csT",,,medium,Slang / abbreviations / typos
92,1149756,iphone cant access directions w/ANY map app on cellular. Loc services on. Works on WiFi. Husb on same carrier has no prob,,,medium,Slang / abbreviations / typos
93,1002268,Help pls - updated Podcasts app v3.0 (1175.223) & now won’t auto play next available ep. Can I change settings to fix?,,,medium,Slang / abbreviations / typos
94,1416898,Why the fuck does @115858’s photo search in our albums on our iPhones have a “brassiere” category....?! This pisses me off,,,medium,Angry / emotionally charged
95,332076,"my ipad air battery only needs 1 or 2 hours to get from 100 to 0 after ios11 update. More people have this, can U fix it ?",,,medium,Slang / abbreviations / typos
96,1300716,"Hey @115858, remember “it just works” as a slogan? Why the fuck does my 6S+ suck ass on iOS 11? This is horse shit.",,,medium,Angry / emotionally charged
97,929331,this update is terrible you ruined my phone,,,medium,Angry / emotionally charged
98,433151,upgrade 11.0.2 disabled connecting to my car - bluetooth is not connecting!! Help pls,,,medium,Slang / abbreviations / typos
99,247635,iPhone started lagging after new update of iOS 11. Please solve the issue ASAP. #iphone @115858 @AppleSupport,,,medium,Slang / abbreviations / typos
100,1153853,.@115858 order fails to arrive as promised. Possibly because they are STILL using the wrong address after THREE corrections. Pshaw!,,,medium,Slang / abbreviations / typos
101,718104,My iPhone 7plus is fucking up... @115858 we’re finna have big problems,,,medium,Angry / emotionally charged
102,244192,"thanks for the IOS11 now my 6s battery drains like rum in the cold night, it seems you intentionally making hate my 📱.",,,medium,Angry / emotionally charged
103,1510888,"Hi @AppleSupport , there seems to be a bug in the software. When I open Twitter app from Safari the previous App is showing “null”. https://t.co/BNGzu4kBPN",,,medium,Slang / abbreviations / typos
104,1110300,Dear @115858 I HATE the App Store line @ the bottom of the message keyboard. How do you get rid of it(or buy a Google ph) #suckupdate,,,medium,Angry / emotionally charged
105,745304,just got new iPhone 8 updated to 11.0.2 everything is so slow my IPhone 7 was muh better than this !! Pls help,,,medium,Slang / abbreviations / typos
106,1444501,My earbuds crapped out after only having them for a month wth @115858,,,medium,Slang / abbreviations / typos
107,940603,I’ve never had any of these issues until this new iOS came out. I absolutely hate it.,,,medium,Angry / emotionally charged
108,586975,why is my phone fucked? this keeps happening every time I type i.t .... i.t i.t i.t i.t i.t 😡😡😡@AppleSupport,,,medium,Angry / emotionally charged
109,1203524,Why is ios11.03 draining my battery on 7plus within half a day!! This is ridiculous,,,medium,Angry / emotionally charged
110,1631165,Hey @AppleSupport when you gonna fix the typing of “I” being corrected to I?,,,medium,Slang / abbreviations / typos
111,1527694,"Every time *I* type the letter *I*, it does this. What the fuck.",,,medium,Angry / emotionally charged
112,793969,I have a love/hate relationship with iPhones.. I’d like it if I turned the WiFi off for it to stay off,,,medium,Angry / emotionally charged
113,1342713,"Damn @115858 , your latest iOS version upgrade , just made my #iPadAir a piece of useless gadget. Give us the chance to Downgrade",,,medium,Angry / emotionally charged
114,1185065,Why did you ruin my keyboard with your latest iOS update? I HATE IT,,,medium,Angry / emotionally charged
115,590860,After the update I open my Mac to find this today. Any suggestions? https://t.co/EZRrGlrcbq,,,medium,Slang / abbreviations / typos
116,1646210,so when r y’all gonna fix this bullshit w the letter i,,,medium,Slang / abbreviations / typos
117,519230,"Seems to be a global problem affecting iPhone only related to time zone. My iPad is fine. My iPhone is affected. Both on iOS 11.1.2. Started at 00:00 on 2nd dec. Clock app on iPhone won’t open, just crashes. 🤦🏻♂",,,medium,Slang / abbreviations / typos
118,8550,so it cant be disable? umm ya.. problem comes oftenly when my iphone just woke up. kindly please gimme some advices to heal that issue,,,medium,Slang / abbreviations / typos
119,563069,I’ve got shit to do. I can’t call you guys every single time you run another buggy update. This is unacceptable.,,,medium,Angry / emotionally charged
120,783450,"Tried that, a reservation number doesn’t count as a order so none of those guys had any idea. SURPRISE! Terrible support",,,medium,Angry / emotionally charged
121,392683,any reason why my iPhone 6s battery is horrendous? After eh update as well so can’t be a coincidence!,,,medium,Slang / abbreviations / typos
122,989744,Just realised that the links from social media take infinitely long to load after upgrading my iPad OS to 11. @AppleSupport,,,medium,Slang / abbreviations / typos
123,1578025,Sooooo my phone randomly unactivated itself today 🤗 @115858 y'all reaaaally got me fucked up rn. I know y'all know everybody phone trippin..,,,medium,Angry / emotionally charged
124,644996,"Thanks @115858 for essentially rendering my @273087 DJ setup useless with the latest OS X updates. My USB audio device no longer works properly. I can't even revert back to an older version of OS X either. I have a gig next week, you know. Sincerely, fuck you.",,,medium,Angry / emotionally charged
125,557799,That means I will have to provide again the password for my icloud which am having trouble to remember or it wont ask for it?,,,medium,Slang / abbreviations / typos
126,554749,Dear @AppleSupport My 🖥 does not copy&paste after I upgrade to Sierra. 😡,,,medium,Slang / abbreviations / typos
127,1557166,My phone officially only has a 30 minute lifespan. Guck you @115858 fuck you,,,medium,Angry / emotionally charged
128,670619,any reason why my WiFi constantly turns on w/o me doing so? Battery is terrible too. Nice work on the new iOS,,,medium,Angry / emotionally charged
129,1538865,I’m afraid to put my headphones in because they shocked me @115858 I’m suing,,,medium,Slang / abbreviations / typos
130,770519,my Apple Watch doesn’t delete messages after the update. I have already restarted the watch multiple times,,,medium,Slang / abbreviations / typos
131,387216,what's wrong with ur safari atm bruh?,,,medium,Slang / abbreviations / typos
132,1573060,I just don’t understand how this became a problem all of the sudden. It’s pretty ridiculous.,,,medium,Angry / emotionally charged
133,1333710,"In High Sierra, right clicking and selecting ""open with"" ignores my choice and opens with the default app 1/2",,,hard,Potential multi-intent / compound complaint
134,1459857,i ben tryin 2 🔼date my apps 4 a month now & it says my billing info is invalid but i just used my 💳 2 day,,,hard,Potential multi-intent / compound complaint
135,148084,my Apple Music is constantly crashing - I can’t even open the app! This recent iPhone updates have been shocking - I’ve had nothing but problems,,,hard,Potential multi-intent / compound complaint
136,356841,In comparison it’s like allowing someone to play an album on @115948 but only playing the first song. #senseless #annoying #fail 2/2,,,hard,Potential multi-intent / compound complaint
137,1291144,Not unusual happening to me and just about all my family members and people at the office. Horrible!!!,,,hard,Potential multi-intent / compound complaint
138,1642607,Oh well then @115858 fix my phone,,,hard,Very short text / low context
139,1160692,trying to install #HighSierra and this progress screen haven’t moved/changed in 30+ minutes https://t.co/A1yt35qiYi,,,hard,Potential multi-intent / compound complaint
140,372211,"The same, Bluetooth is not working",,,hard,Very short text / low context; Ambiguous symptom description
141,1063158,"this isn’t what I paid for my iPhone7. It keeps freezing constantly (even if I shut it), music apps play poorly and its slow",,,hard,Potential multi-intent / compound complaint
142,966361,"How can I get the store in Cambridge, UK to answer the phone? Got an issue with a in-store purchase, but phone rings forever.",,,hard,Potential multi-intent / compound complaint
143,1234323,Hi is there any way to get rid of the settings notification dot? It wants me to update but I'm not interested at this time. Thanks. https://t.co/z6bGLyaZra,,,hard,Potential multi-intent / compound complaint
144,962197,iOS 11.0.2 iPhone 8,,,hard,Very short text / low context
145,1180128,I am using iOS 11.1.2 in IPhone 6s,,,hard,Very short text / low context
146,1152830,Already did that and restarted my phone twice. My current location isn’t the problem....,,,hard,Potential multi-intent / compound complaint
147,854594,"since the latest update my iPhone 7 keeps freezing, my alarm is silent and volume buttons don’t work. A mate has had the same problem",,,hard,Potential multi-intent / compound complaint
148,495146,please send diagnostic test request to check out my battery health. I’ve provided all info through DM but am still waiting...,,,hard,Potential multi-intent / compound complaint
149,556226,"WiFi, I’m using IPad.",,,hard,Very short text / low context
150,1138013,Yes its my everyday wifi,,,hard,Very short text / low context
151,889114,"Contemplating some #Airpods, but concerned about the fit. The old wired Apple Earbuds just fall out of my ears, and Airpods don’t seem to come with any silicon covers to adjust fit. #Bluetooth #Apple @115858",,,hard,Potential multi-intent / compound complaint
152,453887,I thought maybe using video in Instagram or Snapchat or any other app would be the thing causing settings to change so I checked and it wasn’t that,,,hard,Potential multi-intent / compound complaint
153,1489530,paid off my iphone a couple months ago and it's starting to act up now. wtf @115858,,,hard,Potential multi-intent / compound complaint
154,1484845,Got a prob. Went to 8+ from 6S+ for battery life. Still dying like a 🐖. All in “home and lock screen”. What am I missing?,,,hard,Potential multi-intent / compound complaint
155,361431,"No :( when turning on, it goes to a white screen with blue logo, progress bar only goes to max 2/3 full & also can't start in safe mode",,,hard,Slang / abbreviations / typos; Potential multi-intent / compound complaint
156,939122,The steps mentioned in the link give solutions to carrier specific issues. I can confirm tht low volume is not a carrier specific issue but ios11 issue on iPhone 7 plus. I hav tried replacing the phone & the volume is loud & clear on the other phone with the same SIM card,,,hard,Potential multi-intent / compound complaint
157,1014888,I forgot my password and now?,,,hard,Very short text / low context
158,1151847,I did that yesterday and it rebooting/resetting solves the problem but then it happens again at some time.,,,hard,Potential multi-intent / compound complaint
159,1014890,are you listening ? My 6 has also become slow after iOS 11.0.3 https://t.co/2thqz1sZkh,,,hard,Slang / abbreviations / typos; Potential multi-intent / compound complaint
160,977653,This doesn’t really help??,,,hard,Very short text / low context
161,1178921,is it possible to downgrade my iPhone 6 back down to ios10? It’s become painfully slow and often unresponsive.,,,hard,Potential multi-intent / compound complaint
162,813352,"BT servers have seen the sign-in - had a notification email picked up on phone - but the iMac says it's ""offline"", Why can't it just WORK 😡",,,hard,Potential multi-intent / compound complaint
163,1181511,my phone keeps saying storage almost full I've deleted apps photos and videos and it's still at the same space level help,,,hard,Potential multi-intent / compound complaint
164,1642572,Thank you 😁,,,hard,Very short text / low context
165,50799,I keep links as shown in the photo but when you press on the link the note take U out to the home page https://t.co/gzYJKUfe5B,,,hard,Potential multi-intent / compound complaint
166,1534981,11.1. All kinds of issues.,,,hard,Very short text / low context
167,1233600,The keyboard got struck and not moving. Only after restarting the issue solved but again occurs often.,,,hard,Slang / abbreviations / typos; Potential multi-intent / compound complaint
168,1098682,I had my phone out in the rain and now my volume buttons don’t work😐😐😐😐 @AppleSupport,,,hard,Potential multi-intent / compound complaint
169,1003796,"I do that ""You turn on Bluetooth in Control Center."" and it won't reconnect. Don't care about Pencil, Watch. It should reconnect on its own",,,hard,Potential multi-intent / compound complaint
170,545186,Phone now shuts down every 2 minutes and restarts when in use. Can’t request support or a call back as phone keeps shutting down,,,hard,Potential multi-intent / compound complaint
171,1420147,I just upgraded to the iPhone 8+ but now when it connects to my Bluetooth in my car it’s not as loud as my 5S was. #help,,,hard,Potential multi-intent / compound complaint
172,671307,Thank you !!!,,,hard,Very short text / low context
173,185506,Dude! Fuck! Thought it was only me. Apparently @115858 iPhone doesnt like the use of the letter between H and J. RIDICULOUS!,,,hard,Angry / emotionally charged; Potential multi-intent / compound complaint
174,1444459,I’ve updated my phone to the latest version of IOS with your suggestion and it is not working well as before!,,,hard,Potential multi-intent / compound complaint
175,1407890,"And, how can it make alarm sounds when ringer is off and night/silent mode is on and everything on my phone else except alarm is quiet?",,,hard,Potential multi-intent / compound complaint
176,358919,So my @AppleSupport MacBook has restarted 5 times and won’t actually turn on.. I just get this screen then it goes black https://t.co/UK1MCf2ntm,,,hard,Potential multi-intent / compound complaint
177,1416888,Siri is literally shit please upgrade her so she’s up to par with google and amazon bc I like your phones,,,hard,Potential multi-intent / compound complaint
178,1400550,so I updated my iPhone 6s and the screen just went black afterwards and NOT showing anything. Ummmmmm.... https://t.co/jA3TXJb1tj,,,hard,Slang / abbreviations / typos; Potential multi-intent / compound complaint
179,1347715,Mine reservation code says We’re sorry. We can’t find your reservation. Please verify your information and try again.?? Not sure what to do.,,,hard,Potential multi-intent / compound complaint
180,824762,A response would be appreciated,,,hard,Very short text / low context
181,435799,Still no luck,,,hard,Very short text / low context
182,331391,hey guys just wanted to let you know I really hate the new iOS update and it's really confusing on the iPad so yeah.,,,hard,Angry / emotionally charged; Potential multi-intent / compound complaint
183,1500789,When the @115858 specialist gives your replacement watch to someone else and doesn’t offer a solution #notgoodenough,,,hard,Potential multi-intent / compound complaint
184,6784,"since yesterdays update, my phone is dying of glitches and constantly freezing...",,,hard,Potential multi-intent / compound complaint
185,741670,2/2 and it takes 5 seconds for it to come back up and I see the following screen during this period. I expected iOS 11.0.1 to fix it no. https://t.co/3OKx2kYgvU,,,hard,Potential multi-intent / compound complaint
186,388558,"the new update is a joke! I can’t even listen to a song without it jumping to another, and it’s trying to DL all my archive! #crap",,,hard,Potential multi-intent / compound complaint
187,704490,I purchased Taylor Swift’s album Reputation and never got an email with a boost code. Any suggestions?,,,hard,Potential multi-intent / compound complaint
188,188397,It’s become worse.,,,hard,Very short text / low context
189,120642,"UK user here. Having an absolute NIGHTMARE accessing my iTunes subscriptions. My Netflix account is connected to my Apple ID and I want to cancel/amend it, and it's showing up as totally blank on my iTunes page. PLEASE ADVISE ASAP. Getting very frustrated. https://t.co/6oDcXJrdpf",,,hard,Potential multi-intent / compound complaint
190,710661,$350 to replace my water damaged phone and now my watch refuses to pair to the new one @115858 whyyyyyyy,,,hard,Potential multi-intent / compound complaint
191,1019350,All my apps are up to date,,,hard,Very short text / low context
192,942773,new iPhone8 video recordings and audio messages have lots of static. On 11.0.3. What’s up?,,,hard,Potential multi-intent / compound complaint
193,995549,The toggle changes colour but doesn’t in fact turn WiFi off or on. I have to go into settings to do it. While we’re at it:,,,hard,Potential multi-intent / compound complaint
194,501487,Version 11.1.2 No error message. It just froze after I opened camera app and wouldn’t respond when I touched the screen at all.,,,hard,Slang / abbreviations / typos; Potential multi-intent / compound complaint
195,1130474,not very happy with IOS 11.0.3 too many crashes and issues 10 was alright. Please check. Cheers.,,,hard,Potential multi-intent / compound complaint
196,1201372,"Not possible with no display,why can’t we not reformat and just replace the display?",,,hard,Potential multi-intent / compound complaint
197,976669,Radio stations won't play for me through iTunes on my MacBook Pro. All my software is up to date OS and iTunes. #help,,,hard,Potential multi-intent / compound complaint
198,1538879,"it’s an iphone 7 on ios 11.1 , it happens most when it links to the bluetooth on my car. but no longer says what song is playing",,,hard,Potential multi-intent / compound complaint
199,366575,YOUR NEW UPDATE 11.1 SUCKS. It takes me forever to make a connection. YOU HAVE TO FIX THIS ASAP or we will go to court.,,,easy,Standard single-issue report
200,1296385,"Sweet Baby Jesus if @115858 doesn’t fix this slowness & spam problem & I have to buy a new phone, it will NOT be an iPhone #fixthis #dobetter",,,easy,Standard single-issue report
